Name MC MP
Auror 8,463,245,772 1.22%
BitMart 9,877,638,287 1.42%
Frontie 10,482,681,092 1.51%
ChainGP 9,741,997,860 1.41%
LeverF 11,146,790,773 1.61%
Constellatio 9,285,094,670 1.34%
Phoeni 10,359,340,521 1.49%
Liquity 10,285,413,735 1.48%
Orb 9,556,168,985 1.38%
Kyber 9,628,781,511 1.39%
Acala 8,843,084,534 1.28%
Solidus 8,662,128,962 1.25%
Gains 9,409,181,177 1.36%
ApeX 10,166,135,829 1.47%
Polygon 9,699,942,778 1.40%
Fort 8,244,683,342 1.19%
Zebec 8,963,355,304 1.29%
Ethernity 7,761,436,836 1.12%
XY 9,491,826,698 1.37%
Ozone 9,433,772,712 1.36%
DOD 9,699,998,912 1.40%
Secre 9,107,702,658 1.31%
ST 9,398,749,200 1.36%
Dione 8,802,004,156 1.27%
Ankr 9,028,337,395 1.30%
MediBlo 9,066,914,792 1.31%
Bounce 8,628,795,069 1.24%
Heroes 8,777,577,981 1.27%
Sovry 9,444,174,830 1.36%
Multibi 7,355,721,095 1.06%
Tokenlon 9,392,936,694 1.36%
MOBO 9,304,004,141 1.34%
Ardo 8,945,593,566 1.29%
PepeFor 9,128,728,152 1.32%
Pangoli 10,024,741,239 1.45%
Blockchain 9,081,857,675 1.31%
Burnedf 7,108,393,122 1.03%
TokenF 8,143,059,994 1.17%
Dogelon 8,753,596,351 1.26%
Huobi 8,871,981,972 1.28%
Liquit 8,532,104,905 1.23%
Orchi 8,444,979,983 1.22%
Tenso 9,359,156,058 1.35%
Velodrome 7,936,447,119 1.14%
Loom 8,676,099,931 1.25%
LUKS 7,578,809,488 1.09%
Aavegotch 8,099,684,199 1.17%
Victoria 8,324,687,500 1.20%
Stargate 8,545,655,361 1.23%
Hifi 8,503,313,741 1.23%
Entangl 5,658,546,886 0.82%
Nexer 8,450,392,497 1.22%
Erg 8,691,059,736 1.25%
MARBLE 8,081,031,029 1.17%
CUDO 8,180,078,618 1.18%
Tokamak 9,052,414,515 1.31%
Aleph.i 7,723,891,685 1.11%
Maverick 8,001,562,772 1.15%
Radiant 8,175,638,891 1.18%
Stell 8,299,585,962 1.20%
USDX 8,389,307,277 1.21%
Banco 8,171,988,142 1.18%
Bazaar 7,961,806,760 1.15%
Shent 7,885,132,050 1.14%
Energy 8,060,401,266 1.16%
Bifros 7,470,021,172 1.08%
OMG 7,856,457,163 1.13%
Everscal 8,131,740,420 1.17%
Spell 7,760,637,272 1.12%
NK 7,405,163,243 1.07%
Automata 7,388,168,199 1.07%
Gemini 7,689,913,243 1.11%
Gearbox 8,538,639,489 1.23%
Polymat 7,292,652,927 1.05%
L 6,470,222,597 0.93%
Radwork 7,897,067,875 1.14%
HarryPotterObamaSonic10Inu 10,425,211,042 1.50%
Blendr 5,695,268,354 0.82%
Cream 7,179,974,925 1.04%
Banana 6,679,520,567 0.96%
Wazir 6,945,985,805 1.00%
